BOARD;CHANNEL;TIMETAG;ENERGY;ENERGYSHORT;FLAGS;X;Y;Z;INTERACTION TYPE
0;0;3433;0.382504;0;3;-283.96;97.866;198.332;compt
0;0;3433;0.382504;0;3;-286.879;95.5469;212.027;compt
0;0;3433;0.382504;0;3;-289.474;92.4373;222.262;compt
0;3;3433;0.268316;0;0;-302.301;-87.5907;228.01;phot
0;0;6037;0.198711;0;0;-262.983;139.646;252.675;phot
0;1;6037;0.444918;0;2;242.718;126.203;212.087;compt
0;1;6037;0.444918;0;2;235.031;121.424;214.873;compt
0;4;9122;0.308041;0;1;60.8039;159.525;987.45;compt
0;4;9122;0.308041;0;1;61.7318;163.952;982.67;phot
0;2;9122;0.33802;0;1;272.306;-185.824;246.17;compt
0;0;11026;0.524023;0;2;-243.717;180.445;213.006;compt
0;0;11026;0.524023;0;2;-233.418;198.847;205.785;compt
0;7;11026;0.170506;0;0;190.749;-7.73249;957.8;phot
0;6;14201;0.371602;0;0;-131.208;-38.2785;953.033;phot
0;3;14201;0.292709;0;1;-275.608;-119.269;226.345;compt
0;0;14970;0.472549;0;2;-290.21;136.829;276.207;compt
0;0;14970;0.472549;0;2;-286.38;127.956;274.726;compt
0;3;14970;0.0964434;0;0;-223.144;-149.919;222.862;phot
0;0;21560;0.45334;0;4;-251.531;109.492;203.973;compt
0;0;21560;0.45334;0;4;-276.052;117.304;237.141;compt
0;0;21560;0.45334;0;4;-281.649;116.813;250.81;compt
0;0;21560;0.45334;0;4;-291.359;114.19;252.848;compt
0;6;21560;0.245083;0;1;-128.237;20.7294;952.921;compt
0;6;21560;0.245083;0;1;-128.287;20.5405;953.142;phot
0;0;22177;0.220836;0;1;-278.022;178.351;263.027;compt
0;0;22177;0.220836;0;1;-277.908;178.294;263.074;phot
0;1;22177;0.428635;0;1;245.659;156.366;212.351;compt
0;1;30962;0.287767;0;1;291.264;106.06;252.109;compt
0;1;30962;0.287767;0;1;292.17;106.077;251.041;phot
0;2;30962;0.406042;0;1;257.031;-99.7351;212.459;compt
0;6;31728;0.138216;0;0;-180.846;66.6681;950.004;phot
0;2;31728;0.360453;0;1;257.152;-192.784;213.282;compt
0;6;33123;0.398788;0;1;-84.2062;6.08008;1039.03;compt
0;7;33123;0.082097;0;1;101.514;-33.4544;950.216;compt
0;4;33237;0.327047;0;1;62.6573;165.035;976.749;compt
0;4;33237;0.327047;0;1;60.7639;166.423;994.4;phot
0;2;33237;0.330159;0;1;284.871;-115.89;183.949;compt
0;0;33902;0.30205;0;1;-317.456;106.342;196.682;compt
0;0;33902;0.30205;0;1;-304.07;125.703;201.045;phot
0;3;33902;0.362639;0;1;-246.916;-91.9976;188.547;compt
0;2;35678;0.36718;0;2;239.2;-121.797;202.715;compt
0;2;35678;0.36718;0;2;233.156;-137.27;214.495;compt
0;7;35678;0.295085;0;0;160.23;-66.3786;952.081;phot
0;4;36521;0.316109;0;1;-44.5901;93.8931;968.53;compt
0;4;36521;0.316109;0;1;-40.2023;104.565;961.293;phot
0;6;36521;0.363382;0;1;-93.634;29.6671;959.585;compt
0;7;37707;0.279385;0;0;220.293;-9.26979;949.203;phot
0;3;37707;0.375624;0;1;-231.602;-140.713;220.012;compt
0;4;47477;0.367206;0;0;18.6837;209.276;952.185;phot
0;0;47477;0.30274;0;2;-289.355;112.814;266.995;compt
0;0;47477;0.30274;0;2;-290.262;116.929;270.867;compt
0;1;48193;0.357906;0;2;240.235;200.578;201.27;compt
0;1;48193;0.357906;0;2;255.567;206.397;207.775;compt
0;7;48193;0.288139;0;0;123.681;32.7714;950.772;phot
0;5;49601;0.366348;0;0;60.7885;-194.167;960.007;phot
0;2;49601;0.278249;0;1;290.933;-108.919;268.526;compt
0;2;50074;0.20657;0;1;280.15;-223.85;201.28;compt
0;2;50074;0.20657;0;1;281.364;-223.439;197.058;phot
0;3;50074;0.468813;0;1;-236.493;-178.513;206.27;compt
0;2;50388;0.202922;0;0;245.143;-103.198;206.828;phot
0;3;50388;0.447698;0;1;-279.385;-210.853;225.57;compt
0;0;50775;0.436574;0;3;-253.651;97.0905;188.932;compt
0;0;50775;0.436574;0;3;-255.491;96.0139;189.455;compt
0;0;50775;0.436574;0;3;-249.722;90.4909;193.466;compt
0;2;50775;0.221949;0;1;255.268;-152.665;244.74;compt
0;2;50775;0.221949;0;1;260.337;-165.023;243.354;phot
0;4;55774;0.300207;0;1;-1.83534;85.0702;957.416;compt
0;4;55774;0.300207;0;1;1.3754;87.3755;957.399;phot
0;6;55774;0.362225;0;1;-83.5104;25.9289;949.66;compt
0;1;56078;0.222763;0;1;306.149;88.5875;160.059;compt
